UK_GUARANTEED_ROYAL_MAIL_SPECIAL_DELIVERY_9AM_SATURDAY_2500,1001,2500,2500,"Special Delivery: Guaranteed by 9am Saturday"
UK_CONFIRMED_ROYAL_MAIL_SIGNED_FOR_FIRST_CLASS_LETTER,0,50,50,"Signed For: First Class Letter"
UK_CONFIRMED_ROYAL_MAIL_SIGNED_FOR_FIRST_CLASS_LARGE_LETTER,0,50,50,"Signed For: First Class Large Letter"
UK_CONFIRMED_ROYAL_MAIL_SIGNED_FOR_FIRST_CLASS_SMALL_PARCEL,0,50,50,"Signed For: First Class Small Parcel", SMALL
UK_CONFIRMED_ROYAL_MAIL_SIGNED_FOR_FIRST_CLASS_MEDIUM_PARCEL,0,50,50,"Signed For: First Class Medium Parcel", MEDIUM
UK_CONFIRMED_ROYAL_MAIL_SIGNED_FOR_SECOND_CLASS_LETTER,0,50,50,"Signed For: Second Class Letter"
UK_CONFIRMED_ROYAL_MAIL_SIGNED_FOR_SECOND_CLASS_LARGE_LETTER,0,50,50,"Signed For: Second Class Large Letter"
UK_CONFIRMED_ROYAL_MAIL_SIGNED_FOR_SECOND_CLASS_SMALL_PARCEL,0,50,50,"Signed For: Second Class Small Parcel", SMALL
UK_CONFIRMED_ROYAL_MAIL_SIGNED_FOR_SECOND_CLASS_MEDIUM_PARCEL,0,50,50,"Signed For: Second Class Medium Parcel", MEDIUM
UK_STANDARD_FIRST_CLASS_LETTER,0,20,20,"Standard First Class Letter"
UK_STANDARD_FIRST_CLASS_LARGE_LETTER,0,20,20,"Standard First Class Large Letter"
UK_STANDARD_FIRST_CLASS_SMALL_PARCEL,0,20,20,"Standard First Class Small Parcel", SMALL
UK_STANDARD_FIRST_CLASS_MEDIUM_PARCEL,0,20,20,"Standard First Class Medium Parcel", MEDIUM
UK_STANDARD_SECOND_CLASS_LETTER,0,20,20,"Second Class Letter"
UK_STANDARD_SECOND_CLASS_LARGE_LETTER,0,20,20,"Second Class Large Letter"
UK_STANDARD_SECOND_CLASS_SMALL_PARCEL,0,20,20,"Second Class Small Parcel", SMALL
UK_STANDARD_SECOND_CLASS_MEDIUM_PARCEL,0,20,20,"Second Class Medium Parcel", MEDIUM

UK_TRACKED_24_LARGE_LETTER,0,100,100,"Tracked 24: Large Letter"
UK_TRACKED_24_SMALL_PARCEL,0,100,100,"Tracked 24: Small Parcel", SMALL
UK_TRACKED_24_MEDIUM_PARCEL,0,100,100,"Tracked 24: Medium Parcel", MEDIUM

UK_TRACKED_24_WITH_SIGNATURE_LARGE_LETTER,0,100,100,"Tracked 24 With Signature: Large Letter"
UK_TRACKED_24_WITH_SIGNATURE_SMALL_PARCEL,0,100,100,"Tracked 24 With Signature: Small Parcel",SMALL
UK_TRACKED_24_WITH_SIGNATURE_MEDIUM_PARCEL,0,100,100,"Tracked 24 With Signature: Medium Parcel", MEDIUM

UK_TRACKED_48_LARGE_LETTER,0,100,100,"Tracked 48: Large Letter"
UK_TRACKED_48_SMALL_PARCEL,0,100,100,"Tracked 48: Small Parcel", SMALL
UK_TRACKED_48_MEDIUM_PARCEL,0,100,100,"Tracked 48: Medium Parcel", MEDIUM

UK_TRACKED_48_WITH_SIGNATURE_LARGE_LETTER,0,100,100,"Tracked 48 With Signature: Large Letter"
